SerialNumber,Red,Green,Blue,Date,Label
1,0.4575,0.6422,3.0108,,Original
1,,,,,
1,,,,,
2,1.2432,1.5681,3.1364,,Original
2,1.3609,1.6501,3.5692,2016-Feb-25,PreIRCorrection
2,1.2873,1.8265,3.8653,2016-Apr-06,PostIRCorrection
3,1.2545,1.6829,3,,Original
3,1.4608,1.8799,3.6988,2016-Feb-25,PreIRCorrection
3,1.5336,1.9486,4.0069,2016-Apr-06,PostIRCorrection
4,0.4575,0.6422,3.0108,,Original
4,,,,,
4,,,,,
5,1.3878,1.619,3.0909,,Original
5,1.3313,1.6456,3.4145,2016-Feb-25,PreIRCorrection
5,1.6118,1.9544,4.2591,2016-Apr-06,PostIRCorrection
6,1.4468,2.0299,3.3171,,Original
6,1.3371,1.6709,3.3866,2016-Feb-25,PreIRCorrection
6,1.5529,1.9321,4.0321,2016-Apr-06,PostIRCorrection
7,1.2182,1.5424,2.814,,Original
7,1.1794,1.4819,2.9497,2016-Feb-24,PreIRCorrection
7,1.3961,1.6997,3.6593,2016-Apr-06,PostIRCorrection
8,1.3097,1.7011,3.2174,,Original
8,1.6817,2.1737,4.1032,2016-Feb-24,PreIRCorrection
8,2.094,2.5488,5.4416,2016-Apr-06,PostIRCorrection
9,1.2946,1.6292,3.1522,,Original
9,1.2738,1.7069,3.1961,2016-Apr-21,PreIRCorrection
9,1.4958,1.8221,3.9565,2016-Apr-27,PostIRCorrection
10,1.2636,1.6548,3.0217,,Original
10,1.4245,1.8054,3.6932,2016-Apr-21,PreIRCorrection
10,1.6781,2.0847,4.4476,2016-Apr-26,PostIRCorrection
11,1.2373,1.6404,3.1064,,Original
11,,,,,
11,,,,,
12,1.3426,1.7683,3.2222,,Original
12,1.3307,1.7135,3.3487,2016-Feb-24,PreIRCorrection
12,1.655,2.0709,4.1648,2016-Apr-06,PostIRCorrection
13,1.2288,1.7059,2.8431,,Original
13,1.2643,1.7025,3.2028,2016-Apr-21,PreIRCorrection
13,1.6478,2.151,4.2428,2016-Apr-26,PostIRCorrection
14,1.4987,1.9373,3.3941,,Original
14,1.3451,1.6009,3.3978,2016-Apr-21,PreIRCorrection
14,1.549,1.8903,3.9501,2016-Apr-26,PostIRCorrection
15,1.2636,1.6951,2.9574,,Original
15,1.3321,1.7414,3.5408,2016-Apr-21,PreIRCorrection
15,1.5584,2.018,4.0244,2016-Apr-26,PostIRCorrection
16,1.1885,1.5761,2.6852,,Original
16,1.3016,1.9167,2.9898,2016-Feb-24,PreIRCorrection
16,1.7224,2.3028,4.1281,2016-Apr-06,PostIRCorrection
17,1.3495,1.6747,3.3902,,Original
17,1.7125,2.0537,4.7828,2016-May-01,PostIRCorrection
17,,,,,
18,1.3526,1.7365,3.1267,,Original
18,1.3534,1.6786,3.474,2016-Feb-25,PreIRCorrection
18,1.4923,1.8649,3.817,2016-Apr-06,PostIRCorrection
19,1.2586,1.6782,2.9796,,Original
19,,,,,
19,,,,,
20,1.3148,1.7317,3.1556,,Original
20,1.5212,1.9508,4.0588,2016-Apr-21,PreIRCorrection
20,1.9492,2.5188,5.1306,2016-Apr-26,PostIRCorrection
21,1.2909,1.7108,3.087,,Original
21,,,,,
21,,,,,
22,1.2544,1.625,3.0426,,Original
22,,,,,
22,,,,,
23,1.2241,1.5778,2.9583,,Original
23,,,,,
23,,,,,
24,1.2909,1.6136,3.2273,,Original
24,1.3665,1.6718,3.9209,2016-Apr-06,PreIRCorrection
24,1.5294,1.8624,4.2765,2016-Apr-13,PostIRCorrection
25,1.084,1.4343,2.5357,,Original
25,,,,,
25,,,,,
26,1.2609,1.6292,2.9592,,Original
26,1.4534,1.922,3.4666,2016-Jun-13,PreIRCorrection
26,1.5921,1.9084,4.0055,2016-Jun-16,PostIRCorrection
27,1.1488,1.5275,2.5741,,Original
27,1.2395,1.595,3.0658,2016-Mar-01,PreIRCorrection
27,1.3143,1.6802,3.4334,2016-Mar-10,PostIRCorrection
28,1.3091,1.6941,3.1304,,Original
28,1.3894,1.8265,3.4594,2016-Feb-25,PreIRCorrection
28,1.4053,1.7335,3.7446,2016-Mar-06,PostIRCorrection
29,1.2991,1.6747,3.475,,Original
29,1.5956,2.1235,3.9972,2016-Mar-01,PreIRCorrection
29,1.4475,1.8033,3.9211,2016-May-01,PostIRCorrection
30,1.2636,1.6548,3.2326,,Original
30,1.4818,1.9732,3.8385,2016-Mar-01,PreIRCorrection
30,1.6539,2.3072,4.3016,2016-Mar-10,PostIRCorrection
31,1.2752,1.7375,2.8958,,Original
31,1.4367,1.8796,3.4884,2016-Mar-01,PreIRCorrection
31,1.4876,1.9077,3.734,2016-Mar-10,PostIRCorrection
32,1.6951,2.4386,4.0882,,Original
32,,,,,
32,,,,,
33,1.3018,1.7742,3.0556,,Original
33,,,,,
33,,,,,
34,1.3436,1.825,3.2206,,Original
34,,,,,
34,,,,,
35,1.7778,2.3226,4.1143,,Original
35,,,,,
35,,,,,
36,1.2609,1.6292,2.9592,,Original
36,,,,,
36,,,,,
37,1.2909,2.4,3.087,,Original
37,,,,,
37,,,,,
38,1.7778,1.6912,4.3636,,Original
38,1.4581,1.858,3.9849,2016-Jun-13,PreIRCorrection
38,1.5435,1.9322,4.2916,2016-Jun-16,PostIRCorrection
39,NaN,NaN,NaN,,Original
39,,,,,
39,,,,,
40,1.7654,2.3833,4.3333,,Original
40,,,,,
40,,,,,
41,1.7857,2.4457,4.5,,Original
41,2.0103,2.6524,5.5695,2016-Feb-25,PreIRCorrection
41,2.0533,2.7122,5.7596,2016-Mar-06,PostIRCorrection
42,NaN,NaN,NaN,,Original
42,,,,,
42,,,,,
43,1.228,1.625,2.9225,,Original
43,,,,,
43,,,,,
44,1.3271,1.775,3.1556,,Original
44,1.5431,1.9269,3.9141,2016-Jun-13,PreIRCorrection
44,1.5731,1.9601,3.9287,2016-Jun-16,PostIRCorrection
45,1.7108,2.3279,4.303,,Original
45,,,,,
45,,,,,
46,1.4289,1.8161,3.1105,,Original
46,1.1915,1.4915,2.9232,2016-Mar-01,PreIRCorrection
46,1.582,2.2558,3.305,2016-Mar-10,PostIRCorrection
47,1.3271,1.775,3.2272,,Original
47,,,,,
47,,,,,
48,1.3302,1.7407,3.1333,,Original
48,1.5456,1.9411,4.1036,2016-Jun-13,PreIRCorrection
48,1.6093,1.9978,4.244,2016-Jun-16,PostIRCorrection
49,1.3981,1.8228,3.2727,,Original
49,,,,,
49,,,,,
50,1.0833,1.3973,2.4978,,Original
50,1.2102,1.5449,3.0268,2016-Mar-01,PreIRCorrection
50,1.3681,1.7449,3.5057,2016-Mar-10,PostIRCorrection
51,1.3431,1.7792,3.3415,,Original
51,,,,,
51,,,,,
52,1.7895,2.3051,4.6897,,Original
52,,,,,
52,,,,,
